"Symbol","Company_Name","Country","IPO_Year","Sector","Last_Sale"
"DUO","Fangdd Network Group Ltd. American Depositary Shares","China","2019","Technology","0.2"
"DXCM","DexCom Inc. Common Stock","United States","2005","Health Care","297.94"
"EBACU","European Biotech Acquisition Corp. Units","Netherlands","2021","Finance","9.85"
"EBON","Ebang International Holdings Inc. Class A Ordinary Shares","China","2020","Technology","0.8"
"EDAP","EDAP TMS S.A. American Depositary Shares","France","1997","Health Care","7.37"
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares","Argentina","2007","Utilities","6.1"
"EDTK","Skillful Craftsman Education Technology Limited Ordinary Share","China","2020","Real Estate","1.25"
"EDTX","EdtechX Holdings Acquisition Corp. II Class A common stock","United Kingdom","2021","Industrials","10.1"
"EDTXU","EdtechX Holdings Acquisition Corp. II Unit","United Kingdom","2020","Industrials","10.17"
"EDTXW","EdtechX Holdings Acquisition Corp. II Warrant","United Kingdom","2021","Industrials","0.15"
"EDU","New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)","China","2006","Real Estate","13.06"
"EEFT","Euronet Worldwide Inc. Common Stock","United States","1997","Technology","121.16"
"EH","EHang Holdings Limited ADS","China","2019","Consumer Discretionary","8.92"
"EJH","E-Home Household Service Holdings Limited Ordinary Shares","China","2021","Consumer Discretionary","0.38"
"EL","Estee Lauder Companies Inc. (The) Common Stock","United States","1995","Consumer Discretionary","254.65"
"ELP","Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares)","Brazil","2021","Utilities","7.61"
"ELTK","Eltek Ltd. Ordinary Shares","Israel","1997","Technology","4.2"
"EM","Smart Share Global Limited American Depositary Shares","China","2021","Consumer Discretionary","1.21"
"ENBA","Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078","Canada","2018","Energy","25.19"
"ENLV","Enlivex Therapeutics Ltd. Ordinary Shares","Israel","2014","Health Care","5.01"
"ENPH","Enphase Energy Inc. Common Stock","United States","2012","Technology","186.19"
"ENTG","Entegris Inc. Common Stock","United States","2000","Technology","110.96"
"ENTX","Entera Bio Ltd. Ordinary Shares","Israel","2018","Health Care","2.15"
"ENTXW","Entera Bio Ltd. Warrant","Israel","2018","Health Care","0.12"
"EPAM","EPAM Systems Inc. Common Stock","United States","2012","Technology","338.52"
"EQIX","Equinix Inc. Common Stock REIT","United States","2000","Real Estate","687.09"
"EQOS","EQONEX LIMITED Ordinary Shares","Singapore","2019","Consumer Discretionary","1.17"
"ERJ","Embraer S.A. Common Stock","Brazil","2000","Industrials","10.71"
"ERYP","Erytech Pharma S.A. American Depositary Shares","France","2017","Health Care","1.16"
"ESS","Essex Property Trust Inc. Common Stock","United States","1994","Real Estate","283.85"
"ESTA","Establishment Labs Holdings Inc. Common Shares","Costa Rica","2018","Health Care","61.7"
"EVAX","Evaxion Biotech A/S American Depositary Share","Denmark","2021","Health Care","1.96"
"EVO","Evotec SE American Depositary Shares","Germany","2021","Health Care","13.84"
"EVR","Evercore Inc. Class A Common Stock","United States","2006","Finance","114.2"
